,mouse,date,session,cluster_id,parameters_0,parameters_1,parameters_2,pearson_score
0,1544,2023-04-28,of,1,22.166146822998776,35.04363616523515,0.06916480843526966,0.4358434313972466
1,1544,2023-04-28,of,4,21.22434507560635,19.128136139403296,0.05745545395855251,0.7206090386209808
2,1544,2023-04-28,of,9,12.386462617442824,35.26888731760705,0.05480696889575582,0.4765465416827598
3,1544,2023-04-28,of,10,17.039623938844294,19.656431317448526,0.0689924957740961,0.31083209641285897
4,1544,2023-04-28,of,11,8.999340166718774,19.998427872853256,0.033700319119259164,0.4076743330951081
5,1544,2023-04-28,of,13,14.830058442717126,32.18049902887579,0.07458145510559226,0.3456549430012478
6,1544,2023-04-28,of,17,10.6335147434616,32.844067803052845,0.07725841588326558,0.33976487320695964
7,1544,2023-04-28,of,18,8.579924643004723,34.28548164562916,0.034391153202029096,0.6290269043201605
8,1544,2023-04-28,obj,1,14.010105583618188,17.50493509737515,0.0482511061316548,0.5445902964038821
9,1544,2023-04-28,obj,4,19.10484797110695,23.682112234714726,0.0770173902719206,0.5065499050709864
10,1544,2023-04-28,obj,9,13.694311044270991,34.189780286529626,0.12863499204710627,0.3461309936521994
11,1544,2023-04-28,obj,10,22.98253435877642,21.595044439143997,-0.019933536431063152,-0.011563078005141095
12,1544,2023-04-28,obj,11,16.090624331785985,20.22675542069085,0.1794945491415283,0.3296326258431483
13,1544,2023-04-28,obj,13,16.854860608391036,20.847712677738084,0.06824233651210758,0.7214922133834788
14,1544,2023-04-28,obj,17,,,,
15,1544,2023-04-28,obj,18,7.99973539268179,33.00017756057951,-0.15810896485759157,-0.02519540046347848
16,1544,2023-04-28,of2,1,22.5602053807231,34.69889585612456,0.080378626110632,0.6510898402086676
17,1544,2023-04-28,of2,4,6.946072233153497,32.03130958594552,0.0797813872368091,0.6020012799784555
18,1544,2023-04-28,of2,9,13.674987292882193,34.37178935508608,0.07758985830390468,0.5487924694058367
19,1544,2023-04-28,of2,10,17.285307393831456,19.266924122059006,0.10451073828213354,0.2726463568600682
20,1544,2023-04-28,of2,11,16.52893031337802,17.762078128701845,-0.013644467165631273,0.019777916032028456
21,1544,2023-04-28,of2,13,9.635612984513394,26.196488424481693,0.09877813394015825,0.466541881471928
22,1544,2023-04-28,of2,17,13.080100465187034,32.93590406409512,0.11836938656712749,0.2690259956864609
23,1544,2023-04-28,of2,18,8.670783189082456,34.37813235236049,0.03403260007321937,0.5525998675142
24,1544,2023-05-10,of,2,15.192524602786612,13.301393771232375,0.06781258590172194,0.4923656250222008
25,1544,2023-05-10,of,4,22.430653276015253,19.158724757136675,0.09899661965658714,0.31367904961706
26,1544,2023-05-10,of,5,17.91728328753087,24.352137411551585,0.03379740835419917,0.4471473110161086
27,1544,2023-05-10,obj,2,16.825983487726422,13.141012598621412,0.05537679752805497,0.7554546003959507
28,1544,2023-05-10,obj,4,21.574524114194844,20.09418335007114,0.09670808189909443,0.41701576495998827
29,1544,2023-05-10,obj,5,17.62621204127181,26.180562510415545,0.05350716773262982,0.4771515241376674
30,1544,2023-05-10,of2,2,13.3340918338192,13.899634426836709,0.06924469508042257,0.82503502836467
31,1544,2023-05-10,of2,4,21.15513557477454,21.02674947600703,0.08604174939896728,0.3532273375731445
32,1544,2023-05-10,of2,5,14.840480641211817,27.19940486155831,0.026762322057411997,0.4977851745526869
33,1544,2023-05-03,of,1,34.07084773790081,23.00946777843603,0.04550219891547354,0.4573866343822339
34,1544,2023-05-03,of,4,21.13338472284013,19.17719068460288,0.06682358108636481,0.53017643591311
35,1544,2023-05-03,of,6,20.959984688246777,19.121763378195467,0.05991752317086036,0.4687920296837701
36,1544,2023-05-03,of,10,23.950450803119416,24.23325542480845,0.031175790910914464,0.5408518936618952
37,1544,2023-05-03,of,14,18.602452205710406,17.61454662734354,0.09278282272944684,0.48478139202117787
38,1544,2023-05-03,of,15,17.8027844577823,17.831005837952013,0.07260649862119099,0.40328915204838134
39,1544,2023-05-03,of,18,21.526266401716214,31.558247535233168,0.07293912893897574,0.5613187390856096
40,1544,2023-05-03,of,22,33.16124326402947,30.125732010940858,0.024125054792068487,0.23248861234377444
41,1544,2023-05-03,obj,1,18.961739971618613,16.96372396307254,0.032191307263252894,0.5945417362337654
42,1544,2023-05-03,obj,4,24.970635698167456,22.557537336955114,0.07283288101627254,0.6400748255142485
43,1544,2023-05-03,obj,6,24.78492020706763,22.615533503694916,0.08492322107506825,0.5107760775969657
44,1544,2023-05-03,obj,10,28.220922861544924,26.69502081411531,0.05354647607675951,0.46628220303218854
45,1544,2023-05-03,obj,14,21.995671751028464,35.10213257429891,0.10738445361674333,0.1395932588384395
46,1544,2023-05-03,obj,15,21.95647469591367,35.092054522876865,0.06682383657090418,0.15709759271073084
47,1544,2023-05-03,obj,18,21.06749376218021,31.433405376299966,0.08185282248592933,0.7939227298232002
48,1544,2023-05-03,obj,22,23.226029864374496,25.920510223320598,0.07497589396618647,0.31701290051291
49,1544,2023-05-03,of2,1,34.264207815765225,24.021597124812548,0.05900258906312956,0.5472869325405051
50,1544,2023-05-03,of2,4,21.889203003339368,20.929595828111452,0.051384226582568096,0.5639435545953444
51,1544,2023-05-03,of2,6,21.99099755931677,20.864512180495296,0.055660138012842926,0.5710108020508439
52,1544,2023-05-03,of2,10,24.817888340198852,25.410519273821293,0.12127911770849616,0.1528013725224074
53,1544,2023-05-03,of2,14,18.461251054690933,19.07169275729721,0.11386191929705682,0.39273608296598944
54,1544,2023-05-03,of2,15,18.792241191256696,19.618916812149468,0.13016826607483478,0.37071733644582205
55,1544,2023-05-03,of2,18,22.752383841520736,32.45762600374954,0.09574326010093827,0.4311008594610383
