,parameters,pearson_score
3,[16.67270578 11.84939144  0.05330926],0.8072183014167427
4,[36.38251887 21.10880729  0.08149435],0.34365312432094025
5,[23.34868821 20.18437846  0.05554431],0.6998336079686716
17,[27.53203513 37.58015619  0.10367423],0.5189602711428033
18,[25.13012596  1.08933579  0.04985487],0.8263401133020133
20,[20.69197054 16.81906745  0.13472626],0.43360944306999416
